Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

1,1,POL,GM,Polish_fighter3000,Jan-Krzysztof Duda,3057,W498B,W460W,W417B,W40W,D399W,W63B,W4W,W23B,D7B,W8W,W9W,10,73.5,76,68.25,0,9,4,2942
2,17,INT,GM,artooon,Pranesh M,3071,D132B,W143W,W495B,W97W,W426W,W54B,L7W,W67W,W12B,W25W,W23W,9.5,71,73.5,61.5,0,9,3,2870
3,37,TUR,IM,DonkyDonkyDonkey,Eray Kilic,2927,W390B,W210W,W68B,W442W,D43B,L41B,W59W,W48B,W56W,W40W,W7B,9.5,70,70,58.75,0,9,4,2809
4,14,RUS,GM,shimastream,Aleksandr Shimanov,3025,W451W,W524B,W434W,W135B,W9W,W44W,L1B,W6W,L8B,W32B,W21W,9,74.5,76.5,57.5,0,9,3,2898
5,13,NLD,GM,AnishOnYoutube,Anish Giri,3095,W100B,W373W,W473B,W52W,D11B,W12W,D41B,W44B,L18W,W26B,W30W,9,73,75,59,0,8,4,2842
6,49,INT,FM,snowlord,Ivan Yeletsky,2931,W186B,W427W,L41B,W78W,W475W,W71B,W46W,L4B,W68W,W20W,W22B,9,71,74,57.5,0,9,3,2806
7,4,BLR,GM,DenLaz,Denis Lazavik,3104,W612W,W260B,W514W,D424B,W403W,W19W,W2B,W39B,D1W,W18B,L3W,9,69.5,69.5,52.75,0,8,4,2918
8,23,RUS,GM,dropstoneDP,David Paravyan,2992,D143B,D132W,W477B,W69W,W112B,W434W,W415B,W42W,W4W,L1B,W18W,9,69,72,56,0,8,3,2812
9,58,SGP,GM,tjychess,Jingyao Tin,2888,W613W,W124B,W437W,W102W,L4B,W260W,W127W,W401B,W20B,W39W,L1B,9,68,68,49,0,9,3,2837
10,114,ROU,GM,DavidGavrilescu18,David Gavrilescu,2810,W443W,W563B,L22W,W344B,L108W,W450W,W278B,W180W,W176B,W19W,W27B,9,57,58,43.5,0,9,5,2727
11,57,IRN,GM,bardiya_Daneshvar,Bardiya Daneshvar,3032,W131B,W407W,W111B,W79W,D5W,L45B,W106W,W37W,L41B,W98W,W57B,8.5,72,78,58.5,0,8,3,2813
12,55,LTU,GM,ContrVersia,Valery Kazakouski,2838,W639B,W189W,W406B,W99W,D39W,L5B,W413W,W116B,L2W,W46B,W41W,8.5,71,71,48.75,0,8,4,2805
13,36,ESP,GM,jcibarra,José Carlos Ibarra Jerez,2970,W522W,W129B,W141W,W109W,D42B,D46B,W64W,L18B,D98B,W51W,W47W,8.5,70,72,53.25,0,7,1,2788
14,66,DEU,GM,rasmussvane,Rasmus Svane,2941,W244W,W157B,D71W,W323B,D49W,W104W,L20B,W406W,W93W,D24B,W39B,8.5,68.5,72,52.75,0,7,3,2812
15,43,USA,GM,DominguezOnYoutube,Leinier Dominguez Perez,2968,D91B,W150W,W133B,D128B,W439W,W212B,W52W,D41W,L39B,W400W,W42W,8.5,66.5,70.5,52.75,0,7,2,2750
16,25,VNM,GM,wonderfultime,Tuan Minh Le,3088,W414B,D142W,W160B,W187W,W402W,L42B,W423W,W72B,L25W,W53B,W40W,8.5,66,70.5,52,0,8,4,2798
17,28,ARM,GM,Sam_ChessMood,Samvel Ter-Sahakyan,2926,W669W,D495B,L128W,W555B,W183B,W456W,W422B,L21B,W97W,W73W,W52B,8.5,52.5,52.5,37.25,0,8,4,2737
18,94,ESP,GM,iwanyu,Alvar Alonso Rosell,2845,W120W,W147B,W139W,L39B,W114W,W414B,W63W,W13W,W5B,L7W,L8B,8,75,80,54.5,0,8,3,2857
19,41,ESP,GM,platy3,Alan Pichot,3018,W193B,W145W,W516B,D41W,W74W,L7B,W51W,W97B,D21W,L10B,W81W,8,73,75,49.25,0,7,3,2799
20,11,IRN,IM,Sina_Movahed,Sina Movahed,3044,W477B,W476W,W98B,L42W,W76B,W403W,W14W,W32B,L9W,L6B,W90W,8,71.5,74.5,49,0,8,4,2838
21,76,INT,GM,Zhigalko_Sergei,Sergei Zhigalko,2912,W190W,L102B,W601W,W459B,W80W,W77B,D27B,W17W,D19B,W29W,L4B,8,71,72,48.5,0,7,2,2793
22,7,USA,GM,Oleksandr_Bortnyk,Oleksandr Bortnyk,3111,W486B,W156W,W10B,L48W,L106B,W145W,W439B,W58W,W54W,W62B,L6W,8,70,73,50,0,8,4,2783
23,6,RUS,GM,Grischuk,Alexander Grischuk,3058,W108W,W490B,W429W,W438B,W50W,D202B,W45W,L1W,D40B,W41W,L2B,8,70,73,47,0,7,2,2903
24,21,MEX,GM,Jospem,Jose Martinez,3073,W573B,W80W,W413B,W64W,L44B,W412W,W66B,L40B,W402W,D14W,D36B,8,69.5,70.5,47.25,0,7,3,2824
25,63,USA,GM,Shankland,Sam Shankland,2903,W140B,W459W,W439B,D137W,L45W,W89B,W129W,W408W,W16B,L2B,D31W,8,68,71.5,47.5,0,7,4,2799
26,60,CHL,GM,ViIIagra,Cristobal Henriquez,2943,W463W,W105B,W509W,D74B,D137B,D129W,W43B,W45W,D27B,L5W,W82B,8,68,70,47.5,0,6,3,2765
27,24,SRB,GM,DrVelja,Velimir Ivic,2963,W221W,W104B,L46W,W152B,W435W,W440B,D21W,W103B,D26W,W398B,L10W,8,67.5,71.5,47,0,7,5,2792
28,8,SRB,GM,mishanick,Aleksei Sarana,3038,W642W,W575B,L51W,W274B,W55W,L64B,W260W,W35B,L42B,W76W,W66B,8,61.5,61.5,39.5,0,8,4,2749
29,22,ESP,GM,h4parah5,Jaime Santos Latasa,2934,L485W,W641B,W159W,W70B,W314W,W98B,L40W,W141B,W403W,L21B,W64W,8,61,61,42.5,0,8,4,2727
30,74,IND,GM,superchess02,Iniyan P,2965,W466W,W436B,L43W,W484W,L260B,W102B,W213W,W114B,W75W,W65B,L5B,8,60.5,63.5,42.5,0,8,4,2707
31,179,INT,IM,PavelShkapenko,Pavel Shkapenko,2777,W304W,W332B,L433W,W539B,W86B,L32W,W130B,D66W,W72W,W103B,D25B,8,60.5,62.5,43,0,7,5,2735
32,51,UKR,GM,KuzubovYuriy,Yuriy Kuzubov,2973,W640B,D128W,D484B,W372W,W460B,W31B,W33W,L20W,W404B,L4W,W68B,8,60.5,60.5,39,0,7,5,2753
33,127,ARG,FM,IlanSchnaider,Ilan Schnaider,2862,L220B,W291W,W211B,W498W,W180B,W176W,L32B,W127W,L62W,W407B,W65W,8,59.5,62,42,0,8,3,2675
34,50,IND,GM,abhidabhi,Abhimanyu Puranik,2906,W211W,L183B,W573W,L136B,W534W,W118B,W69W,L57B,W151W,W406B,W74W,8,58.5,59.5,40.5,0,8,2,2632
35,143,DEU,IM,The_Machine04,Ruben Gideon Köllner,2764,W338W,W113B,L472B,W488W,L412B,W162W,W181B,L28W,W418W,W137B,W67B,8,55.5,58.5,42,0,8,4,2702
36,62,SWE,IM,Seochesspie,Seo Jungmin,2839,L564W,W659B,W134W,L118W,W294B,D427W,W133B,W269W,W99W,W101B,D24W,8,53.5,53.5,39.75,0,7,4,2638
37,5,USA,GM,SpeedofLight0,Andrew Hong,3111,L344B,D461W,W607B,W515W,W142B,W455W,W426W,L11B,W405W,D42B,W86W,8,51.5,52,35,0,7,2,2711
38,571,INT,GM,ChessQueen,Alexandra Kosteniuk,2729,U--,U--,U--,W558B,W224W,W229B,W319W,W147W,W77B,W144W,W62W,8,39.5,41,41,0,8,3,2575
39,9,MDV,GM,FairChess_on_YouTube,Dmitry Andreikin,3064,W148B,W405W,W115B,W18W,D12B,W399W,W202B,L7W,W15W,L9B,L14W,7.5,76.5,82,51.25,0,7,3,2906
40,82,IRN,FM,rezamahdavi2008,Reza Mahdavi,2996,W467W,W269B,W69W,L1B,W149W,W101B,W29B,W24W,D23W,L3B,L16B,7.5,76,79.5,47.5,0,7,3,2874
41,161,IND,IM,Aradhya2000,Aradhya Garg,2787,W609W,W482B,W6W,D19B,W286B,W3W,D5W,D15B,W11W,L23B,L12B,7.5,76,76.5,47.25,0,6,2,2912
42,99,POL,GM,kpio91,Kacper Piorun,2844,W531B,W587W,W511B,W20B,D13W,W16W,D49B,L8B,W28W,D37W,L15B,7.5,70,71,41.5,0,6,3,2918
43,180,ARG,FM,Franmu14,Francisco Javier Muñoz,2609,W246B,W320W,W30B,W62W,D3W,L49B,L26W,L125B,W217W,W120B,W103W,7.5,69.5,73,46.25,0,7,3,2811
44,59,POL,GM,Byniolus,Zbigniew Pakleza,2842,W205B,W144W,W513B,W470W,W24W,L4B,W58B,L5W,D57W,L47B,W106W,7.5,69.5,71.5,42.25,0,7,3,2805
45,20,HUN,GM,Sanan_Sjugirov,Sanan Sjugirov,2931,W644W,W420B,D88W,W456W,W25B,W11W,L23B,L26B,L51W,W134B,W98W,7.5,68,68,41,0,7,3,2816
46,130,HUN,IM,CSB7,Balázs Csonka,2773,W461W,W261B,W27B,D65W,W453B,D13W,L6B,D138W,W410B,L12W,W116B,7.5,67,70.5,42.25,0,6,5,2838
47,134,ISR,GM,Evgeny81,Evgeny Postny,2787,W266W,W447B,L202W,W83B,W154W,D62W,L67B,W199B,W61W,W44W,L13B,7.5,66,70,45.5,0,7,3,2760
48,90,RUS,IM,MatthewG-p4p,Matvey Galchenko,2944,W188W,W181B,W518W,W22B,L63W,W418W,D65B,L3W,L101B,W198B,W111W,7.5,66,68,41.5,0,7,3,2762
49,3,ROU,GM,BogdanDeac,Bogdan Daniel Deac,3106,W418B,D478W,W554B,W130W,D14B,W43W,D42W,D62B,L398W,D74B,W97B,7.5,65,66.5,43,0,5,3,2759
50,52,RUS,CM,stollenmonster,Egor Baskakov,2921,W500W,W165B,W212W,W475B,L23B,L58W,W80B,L404W,W79B,W93B,D55W,7.5,64,66.5,41.25,0,7,5,2722
51,115,CZE,IM,vasblesk,Vaclav Finek,2805,W614B,W485W,W28B,L202B,W226W,D408W,L19B,W197W,W45B,L13B,W101W,7.5,63,63,38.25,0,7,3,2823
52,111,UKR,GM,sokidze,Ihor Samunenkov,2909,W585B,W280W,W510B,L5B,W128W,W215W,L15B,D101W,W116W,W399B,L17W,7.5,62.5,63.5,34.25,0,7,3,2789
53,91,POL,GM,Matibar,Mateusz Bartel,2817,W203B,W234W,D323B,L182W,L407B,W143W,W121B,W164W,W108B,L16W,W99B,7.5,62,65.5,43.75,0,7,4,2638
54,92,RUS,GM,alexrustemov,Alexander Rustemov,2852,W216W,D278B,W194W,W497W,W182B,L2W,W425B,D65W,L22B,D111B,W119W,7.5,62,64.5,38.25,0,6,2,2826
55,150,ARG,IM,lamomiajunior,Joaquin Fiorito,2772,W308B,W586W,L63W,W122B,L28B,L197W,W193B,W448W,W131B,W153W,D50B,7.5,60,61,36.75,0,7,4,2655
56,61,RUS,FM,Iball95,Igor L. Vakhlamov,2814,L230B,W392W,W166B,W375W,W191B,D99W,W407B,W202W,L3B,L57W,W112B,7.5,60,60,34.75,0,7,4,2698
57,162,USA,IM,Zurability,Zurab Javakhadze,2706,L239B,W493W,W538B,L116W,W463B,W446B,W190W,W34W,D44B,W56B,L11W,7.5,59,61,37.25,0,7,4,2666
58,137,IDN,FM,KnightDuta,Satria Duta Cahaya,2704,W643B,L219W,W574B,W217W,W130B,W50B,L44W,L22B,D181W,W122B,W107W,7.5,58.5,58.5,35.25,0,7,5,2692
59,96,RUS,IM,Flawless_Fighter,Polina Shuvalova,2771,W233W,W487B,L470B,D121W,W362B,W182W,L3B,L108W,W194B,W181W,W100B,7.5,56.5,59,36.75,0,7,4,2628
60,106,ESP,GM,AlexeiShirov,Alexei Shirov,2822,W196W,W512B,L471W,W227B,L77B,W226W,W436W,W185B,L65B,D69W,W125W,7.5,55.5,57.5,37,0,7,3,2643
61,42,NOR,GM,AryanTari,Aryan Tari,2977,L134W,L565B,D531W,W381B,W321B,W132W,W459B,W123W,L47B,W105W,W109B,7.5,49.5,50.5,35,0,7,4,2551
62,44,FRA,GM,baki83,Etienne Bacrot,2889,W241W,W78B,W112W,L43B,W437W,D47B,W81W,D49W,W33B,L22W,L38B,7,72,76,45,0,6,2,2795
63,33,USA,GM,TigrVShlyape,Gata Kamsky,2866,W184B,W465W,W55B,W412W,W48B,L1W,L18B,L68W,L70B,W110W,W108B,7,71,74.5,42.5,0,7,4,2756
64,103,CHN,NM,Abund,Qingyu Yuan,2734,W209B,W199W,W154B,L24B,W102W,W28W,L13B,D74W,D138B,W114W,L29B,7,70,75.5,44.5,0,6,2,2751
65,35,ESP,GM,tptagain,David Anton Guijarro,2995,W601B,W152W,W517B,D46B,D71W,W192B,D48W,D54B,W60W,L30W,L33B,7,66.5,67.5,36.75,0,5,3,2769
66,73,VNM,CM,ChessFighter_2011,Dau Khuong Duy,2989,L430B,W338W,W184B,W139W,W405B,W75W,L24W,D31B,D407B,W155W,L28W,7,65,68,40.5,0,6,2,2710
67,45,BIH,IM,mbojan,Bojan Maksimović,2948,W597B,W449W,L442B,W145W,W218B,D106W,W47W,L2B,D81W,W84B,L35W,7,64.5,65.5,37.25,0,6,3,2741
68,154,POL,IM,Kildepiotr,Piotr Piesik,2735,W291B,W222W,L3W,L414B,W319W,W448B,W215W,W63B,L6B,W138W,L32W,7,62.5,66,34.5,0,7,3,2692
69,221,DJI,IM,Boundless_Strike,Shamil Arslanov,2602,W327W,W176W,L40B,L8B,W500W,W482B,L34B,W299W,W130W,D60B,D73B,7,61.5,64,32.25,0,6,1,2707
70,210,GBR,GM,Ginger_GM,Simon Williams,2672,W279B,L286W,W126B,L29W,W538B,D113W,D186W,W94B,W63W,L90B,W143B,7,61.5,63.5,38.5,0,6,5,2676
71,178,CHL,IM,MatyChess1,Matías Pérez Gormaz,2718,W535B,W354W,D14B,W454W,D65B,L6W,L185B,W148W,W113B,L86W,W134W,7,61.5,63.5,34.25,0,6,2,2708
72,65,BRA,IM,RobertoJBM,Roberto Junio Brito Molina,2853,L215B,W643W,W445B,W87B,D89W,W328W,W108B,L16W,L31B,D146W,W128B,7,61.5,61.5,33.5,0,6,4,2657
73,93,AZE,FM,ilqar_74,Rustam Rustamov,2841,W616B,W227W,L79B,W436W,L99B,D178W,W182B,W194W,W100W,L17B,D69W,7,61.5,61.5,33,0,6,2,2645
74,274,ESP,GM,RealPerangel,Miguel Munoz,2737,W489B,W566B,W378W,D26W,L19B,D402W,W412B,D64B,W409W,D49W,L34B,7,60.5,61.5,31.25,0,5,3,2870
75,249,RUS,CM,Shuvalov,Evgenij Shuvalov,2635,L530W,W382B,W264W,W117B,W175W,L66B,W135B,W85W,L30B,L81B,W127W,7,60,61,37,0,7,3,2685
76,146,GEO,IM,GaiozNigalidze,Gaioz Nigalidze,2758,L222B,W504W,W131B,W486B,L20W,L100W,W232B,W83W,W419B,L28B,W139W,7,59.5,62,34.5,0,7,4,2637
77,273,ESP,FM,CrushingKings,Alejandro Domingo Nunez,2641,W333W,L438W,W206B,W514B,W60W,L21W,W109B,L403W,L38W,W246B,W141W,7,59.5,61.5,35.5,0,7,4,2709
78,225,IND,FM,SahibSinghKnight,Sahib Singh,2715,W270W,L62W,W428B,L6B,L161W,W231B,W443B,L158W,W241B,W167W,W163W,7,59,63,35,0,7,4,2594
79,254,DEU,IM,bescmelasti,Marius Fromm,2637,W335B,W409W,W73W,L11B,W474B,L416W,W438B,L398B,L50W,W419W,W168B,7,58.5,61.5,33.5,0,7,4,2786
80,203,INT,FM,Alexei_Gubajdullin,Alexei Gubajdullin,2740,W290W,L24B,W196W,W523B,L21B,W491W,L50W,L161B,W193W,W216B,W153W,7,58.5,60.5,31,0,7,2,2609
81,138,UKR,GM,Saxar85,Zahar Efimenko,2784,W659W,W220B,D286B,L410W,W216B,W454W,L62B,W184W,D67B,W75W,L19B,7,57.5,57.5,31.5,0,6,2,2773
82,171,DEU,IM,GelmanAlexander,Alexander Gelman,2719,D159W,D360B,L228W,W431B,L131W,W283B,W237W,W190B,W127B,W85W,L26W,7,57,59.5,36.25,0,6,4,2545
83,292,VIR,IM,ChainedDowntohell,Antoine Bournel,2595,W670B,L400B,W262W,L47W,W158B,L442B,W204W,L76B,W287B,W235W,W129W,7,56,56,31,0,7,3,2502
84,140,USA,IM,kassablanca,Kassa Korley,2726,L153W,W533B,W430W,L418B,W171B,W487W,D197B,D113W,W161B,L67W,W133W,7,55.5,57.5,33.5,0,6,3,2577
85,80,ARE,IM,Kirill_Klukin,Kirill Klukin,2907,L261W,W384B,L522W,W220B,W172B,W105W,W170B,L75B,W210W,L82B,W146B,7,55,56,35.5,0,7,5,2585
86,54,AZE,GM,Durarbayli,Vasif Durarbayli,2925,W645W,L372B,W221W,W518B,L31W,L87B,W294W,W157B,W170W,W71B,L37B,7,55,55,30,0,7,3,2661
87,239,USA,IM,LikeWater,Alexander Velikanov,2772,W661W,L469B,W586B,L72W,W174B,W86W,L402B,W206W,L90B,W253W,W158B,7,53.5,53.5,30.5,0,7,3,2644
88,128,IND,CM,djokovic74,John Veny Akkarakaran,2876,W265W,W574B,D45B,L425W,D278B,W147W,L101W,L418B,W446W,W214B,W137W,7,53,54,32.25,0,6,2,2658
89,1,SRB,FM,NikitaShandrygin,Nikita Shandrygin,2697,U--,W297W,W223B,W443W,D72B,L25W,L217B,D150W,W230B,W171W,W148W,7,52,56,36.5,0,6,2,2600
90,87,INT,FM,BardArtem,Artem Bardyk,2835,L173B,W308W,U--,W594B,W522B,L139W,W172W,W165B,W87W,W70W,L20B,7,52,53,33,0,7,3,2620
91,343,ROU,IM,korbul,Florescu Codrut Constantin,2675,D15W,L457B,W177W,D519B,W529B,L406W,L417B,W297W,W278W,W135B,W155B,7,51,53,33.25,0,6,3,2709
92,28,BRA,FM,viniciusrego,Vinicius Rego,2404,U--,W646W,W198B,L149W,L214W,W211B,W225W,W136B,L155B,W165W,W144B,7,50.5,50.5,33.5,0,7,4,2606
93,567,CHE,GM,CaspiIsrael,Israel Caspi,2744,U--,U--,W271B,W266W,W261B,W201B,W161W,W416W,L14B,L50W,W147B,7,47.5,52,36,0,7,4,2657
94,1,ISR,FM,PavelChernomordik,Pavel Chernomordik,2505,U--,W660W,W427B,L490B,W227W,L250B,W128W,L70W,W450B,W420W,W170W,7,45.5,45.5,30.5,0,7,2,2616
95,398,ISR,CM,Cheer_Down,Viktor Parfenov,2452,L474B,W667W,L149B,L320B,W242W,W489B,L136W,W285B,W449B,W210W,W151W,7,45.5,45.5,27,0,7,3,2474
96,555,AZE,GM,azikom,Azer Mirzoev,2716,U--,U--,U--,U--,W560B,W345W,W289W,W281B,W215W,W131W,W138B,7,28,29.5,29.5,0,7,3,2440
97,126,RUS,FM,Witik,Vjacheslav Weetik,2838,W647W,W171B,D425W,L2B,W121B,W140W,W399B,L19W,L17B,W182B,L49W,6.5,68.5,68.5,32.75,0,6,4,2821
98,120,NOR,FM,ELECTRODYNAMIC_DRACULA,Havard Haug,2884,W283W,W134B,L20W,W525B,W485W,L29W,W146B,W153B,D13W,L11B,L45B,6.5,65.5,67.5,31.25,0,6,4,2772
99,232,ARM,FM,edgarhay012,Edgar Hayrapetyan,2722,W567B,W374W,W423B,L12B,W73W,D56B,L103W,W107W,L36B,W195B,L53W,6.5,63.5,64.5,30.25,0,6,3,2826
100,313,IND,FM,sathvikadiga,Sathvik Adiga,2685,L5W,W158B,W107B,L434W,W493W,W76B,W442W,D400W,L73B,W413B,L59W,6.5,63,66,35.25,0,6,4,2776
101,265,RUS,CM,Russian_berezka,Damir Ismagilov,2623,W293W,L415B,W195W,W378B,W479W,L40W,W88B,D52B,W48W,L36W,L51B,6.5,62.5,64.5,32.75,0,6,2,2785
102,260,DEU,FM,SchachmattTV_Tobi,Tobias Kolb,2728,W494B,W21W,W422W,L9B,L64B,L30W,W309W,L130B,D203B,W268W,W185B,6.5,62,65,32.25,0,6,2,2654
103,64,KAZ,IM,Arystanner,Arystanbek Urazayev,2892,W538W,D133B,L274W,W132B,W189W,W462W,W99B,L27W,W106B,L31W,L43B,6.5,62,64,33,0,6,3,2686
104,204,PHL,NM,ravengelic,rolly parondo,2689,W501B,L27W,W168B,W245W,W438W,L14B,D107B,L399W,W430B,L125B,W194W,6.5,61,63.5,30.75,0,6,3,2756
105,247,DEU,IM,KubaGepard,Jakob Pajeken,2586,W662W,L26W,W236B,L398B,W126W,L85B,W491B,W163W,D412W,L61B,W190W,6.5,61,61,28.75,0,6,2,2696
106,144,FIN,IM,Karttunen,Mika Karttunen,2676,L491B,W532W,W326B,W280W,W22W,D67B,L11B,W120W,L103W,W132B,L44B,6.5,60.5,62.5,33.5,0,6,2,2718
107,34,CHL,GM,XDPS,Pablo Salinas Herrera,2812,W319W,L213B,L100W,W585B,W148W,W136B,D104W,L99B,W158B,W145W,L58B,6.5,59.5,60.5,31.75,0,6,3,2607
108,306,POL,CM,HeroWilczek,Igor Wilk,2480,L23B,W389W,W593B,W517W,W10B,D423W,L72W,W59B,L53W,W412B,L63W,6.5,59,59,27.25,0,6,4,2796
109,141,ROU,FM,IMchanged,Felix Ilinca,2821,W432B,W295W,W377W,L13B,L127B,W344W,L77W,W162B,D122B,W184W,L61W,6.5,58.5,60.5,28.25,0,6,2,2650
110,455,ESP,CM,Darkdefense15,Alvaro Bravo De La Vega,2474,W119W,L112W,L459B,D465W,L133B,W262W,W160B,W121W,W178W,L63B,W198W,6.5,58,61.5,36.75,0,6,1,2655
111,170,GEO,IM,Meri-Arabidze,Meri Arabidze,2686,W297B,W334W,L11W,D140B,W467B,D286W,L153W,W186B,W180B,D54W,L48B,6.5,58,61,30.25,0,5,4,2646
112,157,ISR,FM,Gurvich_Vitaly,Гурвич Виталий,2678,W441W,W110B,L62B,W522W,L8W,W488B,L138W,W445B,D185W,W188B,L56W,6.5,58,60,27.75,0,6,4,2647
113,436,RUS,FM,wild3000,Rushan Bogaudinov,2391,W464B,L35W,W543B,D156W,D478W,D70B,W449W,D84B,L71W,D118B,W200W,6.5,57.5,59.5,29.75,0,4,2,2662
114,206,RUS,FM,Emp3rador,Павел Торопов,2630,W272B,L453W,W579B,W321W,L18B,W264W,W163B,L30W,W179B,L64B,D126W,6.5,57.5,58.5,28.75,0,6,4,2649
115,116,RUS,GM,Gabrielian_Artur,Artur Gabrielian,2817,W281W,W502B,L39W,W162B,L414W,D164B,D198W,L181B,D186W,W197B,W182W,6.5,56,58.5,32,0,5,3,2625
116,348,ESP,WFM,Vse_po_kaify,Alexandra Afanasieva,2611,L374B,W339W,W591B,W57B,W473W,D422B,W409W,L12W,L52B,W187W,L46W,6.5,54.5,55.5,27.75,0,6,2,2812
117,85,ARG,FM,BVB009,Benik Agasarov,2806,W223B,L470W,W232B,L75W,D134B,L217W,W196B,W463B,L198W,W130B,W181B,6.5,54,57,33.5,0,6,6,2555
118,228,RUS,FM,GlavkonVVS,SHAPIRO VIKTOR,2674,L249B,W246W,W432W,W36B,U--,L34W,L168B,W265W,W228B,D113W,W188W,6.5,53.5,58,35.75,0,6,2,2557
119,156,ARM,FM,TigranMukhutdinov,Tigran Mukhutdinov,2723,L110B,W648W,L463B,W265W,W211B,D122W,L194B,W467W,W199B,W185W,L54B,6.5,53.5,53.5,27.25,0,6,2,2548
120,394,AZE,IM,Logman74,Logman Guliev,2482,L18B,W364W,L476B,W247W,W371B,D191W,W323B,L106B,W123W,L43W,W183B,6.5,53,55,27.25,0,6,3,2629
121,256,POL,FM,PolandHussars,Michał Bartel,2586,L471B,W383W,W289B,D59B,L97W,W501B,L53W,L110B,W266W,W263B,W187W,6.5,52,53,25.75,0,6,3,2543
122,298,NOR,FM,Joachim100x,Joachim Solberg,2560,W660B,L514W,W507B,L55W,W359B,D119B,W191W,D192B,D109W,L58W,W195B,6.5,51.5,51.5,25.25,0,5,4,2596
123,211,SRB,FM,Partytime1126,Ivan Martic,2541,D360W,L159B,W608B,W556W,L454B,W150W,W216W,L61B,L120B,W430W,W184B,6.5,48.5,49,24.25,0,6,2,2557
124,245,NOR,CM,ansko1999,Andreas Skotheim,2659,W300W,L9W,L167B,L532W,L527B,W336B,W224W,W341B,W222W,D206B,W191W,6.5,48,50,28.25,0,6,2,2457
125,12,SVN,GM,Anton_Demchenko,Anton Demchenko,2898,D606W,W605B,L478B,W225W,L458B,W498W,W195B,W43W,L400B,W104W,L60B,6.5,48,48.5,27.75,0,6,2,2647
126,412,MEX,IM,dosto07,Julian Estrada,2460,L514B,W366W,L70W,W589B,L105B,W530W,D145B,W465W,W183W,D129B,D114B,6.5,47,48,23.25,0,5,1,2638
127,488,USA,FM,smotherhubbard,Andrew Hubbard,2380,W151B,W155W,L402B,W420B,W109W,W135W,L9B,L33B,L82W,W157B,L75B,6,67.5,72.5,35.5,0,6,3,2728
128,237,ROU,FM,tusplingher,Dumitru-Daniel Dinu,2622,W592W,D32B,W17B,D15W,L52B,L130W,L94B,W491W,W150B,W180W,L72W,6,67,68,32.25,0,5,2,2669
129,218,UKR,GM,SharapovEvgeny,Sharapov Evgeny,2632,W292B,L13W,W220W,W377B,W398W,D26B,L25B,L410W,W140B,D126W,L83B,6,65.5,67.5,31.25,0,5,3,2756
130,534,IND,CM,Chera_Chola_Pandya_in2024,Aakash G,2594,W620B,W328W,W400W,L49B,L58W,W128B,L31W,W102W,L69B,L117W,W215B,6,64,64,27.5,0,6,3,2728
131,357,PHL,NM,Silvederione,John Michael Silvederio,2479,L11W,W342B,L76W,W169W,W82B,W218W,L404B,W313B,L55W,L96B,W242W,6,63,66,30,0,6,3,2641
132,317,FIN,NM,noblerone,Mauri Lehtosaari,2553,D2W,D8B,D337B,L103W,W177B,L61B,W501W,W320B,W260W,L106W,D145B,6,62,64.5,30.25,0,4,2,2674
133,250,VEN,IM,WilsonPalencia21,Wilson Morales,2497,W342B,D103W,L15W,L159B,W110W,W503B,L36W,D169W,W282B,W179W,L84B,6,61.5,64,28.25,0,5,3,2580
134,342,IND,FM,UNSTOPPABLE_LEGEND,Ritvik Krishnan,2609,W61B,L98W,L36B,W284W,D117W,W499B,D313W,W442B,W141W,L45W,L71B,6,61,63.5,29.25,0,5,3,2785
135,101,UKR,FM,ValentunHulka,Valentyn Hulka,2846,W576B,W225W,W219B,L4W,W136W,L127B,L75W,L146B,W263B,L91W,W206W,6,61,62,27,0,6,3,2579
136,231,UKR,IM,viktorskliarov,Viktor Skliarov,2724,W515W,L399W,W231B,W34W,L135B,L107W,W95B,L92W,L190B,W309B,W233W,6,60.5,62.5,31,0,6,3,2632
137,285,DEU,IM,Chessexplained,Christof Sielecki,2614,W663W,W175W,W474B,D25B,D26W,L415W,W440B,L402W,W192B,L35W,L88B,6,60.5,60.5,26.5,0,5,3,2804
138,330,KAZ,WFM,Elnaz_Kaliakhmet,Elnaz Kaliakhmet,2537,L286B,W263W,L409B,W204W,W411B,W481W,W112B,D46B,D64W,L68B,L96W,6,60,63,32.25,0,5,2,2735
139,257,GTM,FM,ketster,Ekaterina Goltseva,2689,W322W,W163W,L18B,L66B,W528W,W90B,L403B,D263W,D253B,W154W,L76B,6,60,62,29.25,0,5,1,2676
140,363,NLD,FM,Zgorl,Rob Schoorl,2633,L25W,W335B,W404W,D111W,W187B,L97B,D183W,D260B,L129W,D142B,W255W,6,59.5,62.5,30.75,0,4,2,2676
141,153,RUS,IM,Korchmar_Vasiliy,Vasiliy Korchmar,2711,W236W,W491B,L13B,W502W,L408B,W214W,W418B,L29W,L134B,W172W,L77B,6,59,61.5,26.5,0,6,2,2677
142,205,ISR,IM,xasid81,Yuri Zhizmer,2666,W590W,D16B,L401B,W150W,L37W,L186B,L461B,W254W,W209B,D140W,W211W,6,59,60,29.75,0,5,1,2642
